Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
110	2.257876717	0	2.992314303	0.0024	2.90089573	0.0244	3.523447033	0.0014	3.077200456	0.0104	3.330316563	0.0006	0.000133333	0.0096	0.006966667	0.035566667	0.0053	0.0215
111	2.25716623	0	2.989488591	0.0034	2.90379859	0.0036	3.521072704	0.0004	3.072781595	0.002	3.327943789	0.0008	0.000133333	0.010133333	0.007566667	0.035566667	0.005633333	0.003766667
112	2.257799695	0	2.994277291	0	2.900999873	0	3.542149002	0.003	3.085033741	0.0012	3.287526819	0.1096	0.000133333	0.010133333	0.006733333	0.025266667	0.005666667	0.0212
113	2.256426139	0	2.987787075	0.0002	2.903055203	0.0002	3.550327168	0.0094	3.091143579	0	3.286933366	0.0014	0	0.010133333	0.004766667	0.010333333	0.002633333	0.0193
114	2.255643817	0.0002	2.987432733	0.0012	2.881961318	0.014	3.566260675	0	3.120028502	0.0146	3.268824384	0.0498	3.33333E-05	0.010333333	0.007066667	0.002366667	0.005066667	0.027033333
115	2.25750911	0.0004	3.006956446	0.0034	2.887413633	0	3.582563164	0.0274	3.125081449	0.0252	3.262993551	0.0004	0.0001	0.001766667	0.007033333	0.006933333	0.0089	0.0271
116	2.265012622	0.0002	3.003379304	0	2.887494567	0	3.579457093	0.0016	3.124637116	0.0002	3.26110447	0.0088	0.000133333	0.001366667	0.002966667	0.006966667	0.0072	0.028466667
117	2.264342411	0	3.005434394	0	2.885398407	0	3.601192923	0.268	3.154985826	0.002	3.269425784	0.0004	0.000133333	0.0008	0.002366667	0.051566667	0.0072	0.0284
118	2.262353765	0	3.006802907	0	2.885482183	0	3.619550691	0.0306	3.172491876	0.002	3.257151217	0.0002	0.000133333	0.0008	0.002366667	0.056166667	0.007333333	0.010166667
119	2.260997893	0.0004	2.998146077	0.0008	2.890781108	0.0002	3.631990777	0.0004	3.176817411	0.0164	3.248485323	0.0026	0.0002	0.0009	0.002366667	0.054666667	0.010066667	0.010366667
120	2.259645289	0	2.996331184	0	2.904792737	0.0052	3.633185204	0.001	3.174528901	0.0006	3.254114916	0	0.000166667	0.0007	0.0009	0.054833333	0.007733333	0.002066667
121	2.259106839	0	2.987753194	0	2.904733539	0	3.663371068	0.006	3.166375602	0.2128	3.24201044	0.0286	0.0001	0.000133333	0.0009	0.051266667	0.039	0.006766667
122	2.258877708	0.0002	2.992424895	0.0002	2.87038364	0.1266	3.673926919	0.0634	3.18488389	0.0078	3.247438283	0.0044	0.0001	0.000166667	0.022	0.061566667	0.040266667	0.006033333
123	2.258727594	0.0002	2.992794585	0.0002	2.872193426	0.0002	3.628516204	0.0148	3.141344996	0.0186	3.243171355	0.0032	0.000133333	0.0002	0.022033333	0.019366667	0.043033333	0.0065
124	2.266143575	0.002	2.993746355	0	2.866842716	0.0014	3.6416492	0.0042	3.13627361	0.0002	3.242813087	0	0.000466667	0.0002	0.022266667	0.014966667	0.042733333	0.006466667
125	2.743924908	0.439	2.994494229	0	2.88331771	0.0066	3.648444961	0.0056	3.129807298	0	3.235045456	0.0004	0.073566667	6.66667E-05	0.023333333	0.015833333	0.04	0.0061
126	2.739191817	0	3.012843753	0.0036	2.885732045	0	3.646934144	0	3.131563297	0.0002	3.234421986	0.0002	0.073566667	0.000666667	0.022466667	0.015666667	0.039933333	0.006133333
127	2.738407604	0	3.004207117	0.0016	2.880462866	0	3.643920727	0.0008	3.133634327	0.0004	3.220137976	0.0074	0.073566667	0.000933333	0.022466667	0.0148	0.004533333	0.0026
128	2.737910839	0	3.075758087	0.4044	2.882978184	0.0016	3.688036196	0.0016	3.130459549	0	3.220207933	0.0002	0.073533333	0.0683	0.001633333	0.0045	0.003233333	0.0019
129	2.733962254	0	3.075053497	0	2.88287636	0	3.65316978	0.0136	3.130386506	0.0006	3.216767621	0.0006	0.0735	0.068266667	0.0016	0.0043	0.000233333	0.001466667
130	2.747744426	0.0622	3.08024119	0.0078	2.875938327	0.0008	3.672008146	0.0022	3.233224739	0.1922	3.225679581	0.0002	0.083533333	0.069566667	0.0015	0.003966667	0.032233333	0.0015
131	2.831664021	0.0002	3.091287966	0.0018	2.872244076	0.0002	3.658367514	0.0578	3.232741756	0.0002	3.219689267	0.0002	0.0104	0.069866667	0.000433333	0.012666667	0.032266667	0.001466667
132	2.830614881	0	3.091292744	0	2.909328276	0.0436	3.665309168	0.0004	3.250325177	0.035	3.246531565	0.0182	0.0104	0.069266667	0.0077	0.012733333	0.038066667	0.004466667
133	2.826854135	0.2074	3.104286201	0.0126	2.914440294	0	3.730321009	0.3078	3.231450187	0.0022	3.256310493	0.0002	0.044966667	0.0711	0.0077	0.0639	0.038366667	0.003266667
134	2.826458984	0	3.109951634	0	2.916354267	0.0002	3.730460201	0.0002	3.277024104	0.1214	3.262427582	0	0.044966667	0.0037	0.007466667	0.063666667	0.0586	0.003233333
135	2.907200039	0.1274	3.09319773	0.3146	2.908034513	0.0064	3.727725313	0.1276	3.287441582	0.0204	3.334985541	0.0804	0.0662	0.056133333	0.008533333	0.082666667	0.0619	0.016533333
136	2.906188885	0	3.092409852	0.0002	2.908928775	0.0002	3.726713178	0	3.26790527	0.0066	3.329656595	0.0004	0.055833333	0.054866667	0.008433333	0.0823	0.030966667	0.016566667
137	2.902942141	0	3.082226899	0.0036	2.923132573	0.002	3.73753906	0.002	3.274425297	0.0228	3.350451579	0.001	0.0558	0.055166667	0.008733333	0.073	0.034733333	0.0167
138	2.90245641	0	3.099979682	0.021	2.930005617	0.0164	3.774354436	0.0744	3.261149399	0.005	3.333405343	0.003	0.0558	0.058666667	0.0042	0.085333333	0.029733333	0.014166667
